"cod","id","ano","econo_bov","AtvTotal","AtvCirc","PasCirc","PatLiq","CxOper","RecLiq","VrMerc","LAIR","LucroLiquido","LucroBruto","LiqBolsa"
"ELPL3","1417","2015","Utilidade pública",13274827,4594108,4520867,2839145,-316180,13667413,1512258,158973,101136,472878,1e-05
"ELPL3","1417","2016","Utilidade pública",13565197,3719023,3888707,2694812,1701541,11659899,2652398,15411,20923,243871,1e-05
"ELPL3","1417","2017","Utilidade pública",14270404,3410186,4433087,1808432,439997,13168492,2686076,-1264270,-844424,538146,0.02548
"EMAE4","1699","2015","Utilidade pública",1098255,183716,70240,760707,-30827,198444,154808,66094,59790,35501,0.00012
"EMAE4","1699","2016","Utilidade pública",1125762,222288,94413,722939,-40541,206607,317005,77486,54980,32925,0.00032
"EMAE4","1699","2017","Utilidade pública",1245025,273816,96414,819875,4111,209510,336218,156194,119146,23242,0.00041
"EMBR3","2008","2015","Bens industriais",45566910,25035864,12029013,14610956,3632763,20301771,22248551,1101892,241601,3756413,0.88917
"EMBR3","2008","2016","Bens industriais",38016671,22102148,10367249,12543600,-309018,21435696,11752944,555821,585433,4269592,0.8706
"EMBR3","2008","2017","Bens industriais",39484906,23326892,9204804,13459297,2505920,18713045,14660820,926323,795788,3421370,0.78875
"ENBR3","1976","2015","Utilidade pública",18412340,4863321,3924170,5811654,1567889,10107957,5725911,1762686,1265936,2121344,0.54
"ENBR3","1976","2016","Utilidade pública",19243826,4663745,3976461,7523306,2331286,9364772,8121646,989187,666602,2165056,0.6804
"ENBR3","1976","2017","Utilidade pública",20607952,5454157,4526264,7881837,1377762,12373375,8476720,1044160,611855,2322949,0.50646
"ENGI11","1525","2015","Utilidade pública",18502182,5879295,4716057,2211653,1058652,11935130,3869579,-181279,324922,1647902,0.00028
"ENGI11","1525","2016","Utilidade pública",20022820,6347068,5011302,3681867,1765051,11810695,6534306,344080,154717,1826607,0.10373
"ENGI11","1525","2017","Utilidade pública",22048356,7098724,5745441,3843453,1249281,13637154,11540757,606890,558612,1887926,0.19384
"ENMT3","1460","2015","Utilidade pública",4666751,1367317,1088625,1349626,255111,3483404,1217849,69679,45246,310151,7e-05
"ENMT3","1460","2016","Utilidade pública",5329113,1512425,1390232,1793609,507044,3331068,2767838,115291,120189,543498,3e-05
"ENMT3","1460","2017","Utilidade pública",5917524,1624445,1597969,1798848,181314,3851287,3832392,35543,4772,502624,2e-05
"ENEV3","2123","2015","Utilidade pública",8492078,921556,1433619,3587014,146664,1518633,2264777,147861,142637,399795,0.02021
"ENEV3","2123","2016","Utilidade pública",10360571,1249601,1740974,4493678,664977,2160983,2845623,11713,-108107,731940,0.01155
"ENEV3","2123","2017","Utilidade pública",10907381,1877257,1152007,5390443,1009715,2721773,4378361,185054,95498,1110135,0.03363
"EGIE3","1732","2015","Utilidade pública",15300673,4443105,2988664,6639872,2578612,6512037,21860336,2033232,1500392,2708942,0.47403
"EGIE3","1732","2016","Utilidade pública",14419691,3355091,1800794,6611227,2524794,6442371,22845977,2066773,1547303,2740914,0.55836
"EGIE3","1732","2017","Utilidade pública",19568513,3735779,5676471,6830594,331802,7009957,23178875,2623380,2003412,3006086,0.47312
"EQTL3","2001","2015","Utilidade pública",12585887,5158351,3131472,3479252,1197712,7252942,6799631,1121063,808482,1803932,0.76335
"EQTL3","2001","2016","Utilidade pública",14219520,5927532,3416305,4023998,867699,7952181,10807973,1050012,712217,2148781,0.73681
"EQTL3","2001","2017","Utilidade pública",17488452,7494200,4074347,4786085,1057111,9071420,13047509,1241116,997263,2625035,0.69227
"ESTC3","2101","2015","Consumo cíclico",4360083,2118041,746183,2680592,78267,2939422,4293643,484235,484674,1278914,0.88201
"ESTC3","2101","2016","Consumo cíclico",4141152,1453695,937314,2434673,836741,3184505,4872694,372793,368102,1375463,0.70951
"ESTC3","2101","2017","Consumo cíclico",4021095,1663480,842944,2777257,699990,3378979,10155624,432058,424590,1601866,102122
"ESTR4","842","2015","Consumo cíclico",224356,125758,422462,-329938,2743,169010,7275,-41596,-44896,71642,5e-04
"ESTR4","842","2016","Consumo cíclico",227687,113117,494312,-392417,11522,140950,10185,-62480,-62480,69810,0.00259
"ESTR4","842","2017","Consumo cíclico",225237,108512,523306,-435998,6364,142743,8969,-43580,-43580,79308,0.00114
"ETER3","576","2015","Bens industriais",933194,412320,205820,500098,57632,974872,373987,68617,29420,376757,0.01742
"ETER3","576","2016","Bens industriais",842448,356975,168489,459633,60823,827275,236202,-27727,-37683,263202,0.02129
"ETER3","576","2017","Bens industriais",563622,297457,148779,170502,64236,665739,164626,-244946,-276388,163810,0.02365
"EUCA4","577","2015","Materiais básicos",2018421,467223,551987,1173328,133286,1143261,253374,-12450,10508,332596,0.00193
"EUCA4","577","2016","Materiais básicos",2014448,467471,538635,1201220,101364,1144450,258958,36441,33578,319104,0.00333
"EUCA4","577","2017","Materiais básicos",2039758,475101,554266,1237334,145317,1205361,459041,31305,41937,329601,0.00472
"EVEN3","2052","2015","Consumo cíclico",5136789,3607509,1212047,2159451,-60880,2205111,885499,196501,101366,520253,0.28105
"EVEN3","2052","2016","Consumo cíclico",5018723,4008990,1192013,2126938,-63137,1743088,823001,81374,1868,336885,0.12365
"EVEN3","2052","2017","Consumo cíclico",4729857,3936596,1450171,1757466,471315,1583950,1262701,-305840,-378661,220158,0.12999
"BAUH4","157","2015","Consumo não cíclico",54922,27522,21873,28437,7568,113799,39165,8413,5521,33807,0.00029
"BAUH4","157","2016","Consumo não cíclico",69969,41616,31528,34300,12261,134019,46737,11600,7689,39798,0.00014
"BAUH4","157","2017","Consumo não cíclico",81103,49360,35409,41483,8430,163050,57442,14019,9421,42701,0.00024
"EZTC3","2077","2015","Consumo cíclico",3291023,1779434,318640,2702292,74057,814363,2004066,473279,444011,416959,0.20478
"EZTC3","2077","2016","Consumo cíclico",3516165,2263087,445047,2827829,117762,572227,2582278,248447,230213,270103,0.19684
"EZTC3","2077","2017","Consumo cíclico",3103748,1713909,388734,2535342,735306,980323,3572289,384199,358828,434644,0.22374
"FHER3","2062","2015","Materiais básicos",3333510,1875179,3006752,246014,-364355,6308405,72707,-514982,-335967,551618,0.00638
"FHER3","2062","2016","Materiais básicos",2855544,1575793,2344201,289207,-194451,5194970,110407,60317,43190,637228,0.00633
"FHER3","2062","2017","Materiais básicos",2945048,1621346,2651298,163603,-120878,4789723,137336,-192852,-125604,459674,0.01006
"FESA4","306","2015","Materiais básicos",1643335,677454,225931,1334987,12839,936230,658178,191387,173226,354581,0.01773
"FESA4","306","2016","Materiais básicos",1657620,658305,173712,1352254,300693,1096154,773246,41901,69660,173714,0.03429
"FESA4","306","2017","Materiais básicos",1856461,888379,169103,1517060,392391,1108722,1678481,308888,269852,391794,0.04615
"FIBR3","1279","2015","Materiais básicos",29433978,5460578,2955299,12752368,4479018,10080667,28707990,-160941,342185,4202458,106149
"FIBR3","1279","2016","Materiais básicos",34440328,7516856,4023121,13751074,3924077,9614817,17643033,3043667,1654848,2506471,107002
"FIBR3","1279","2017","Materiais básicos",38693331,10530161,5789807,14577163,4105761,11739153,26469836,1535449,1085265,3490737,0.89948
"FLRY3","2188","2015","Saúde",3203997,1132210,417657,1655439,368922,1894960,2500694,172480,107343,502886,0.06193
"FLRY3","2188","2016","Saúde",3005820,933225,409182,1535725,513870,2096113,5601154,294376,228749,601051,0.25374
"FLRY3","2188","2017","Saúde",3527332,1267037,639146,1706528,529607,2383012,9336394,427765,320618,736076,0.54972
"FJTA4","617","2015","Bens industriais",1022340,591905,802939,-60116,79189,823809,61077,-279502,-151702,242073,0.00156
"FJTA4","617","2016","Bens industriais",893057,472452,385897,-171901,36276,830273,96419,-100949,-103027,193201,0.00226
"FJTA4","617","2017","Bens industriais",768958,451459,965691,-445233,33823,784876,129326,-276994,-286028,116729,0.00581
"FRAS3","621","2015","Bens industriais",970959,512512,266800,432142,194571,875026,463501,67336,52153,255585,0.00126
"FRAS3","621","2016","Bens industriais",1202304,796359,240781,772136,-73356,812651,926925,86281,64281,232043,0.00638
"FRAS3","621","2017","Bens industriais",1356465,864781,418321,780895,128706,832831,1150074,83595,64065,217167,0.00793
"GFSA3","1610","2015","Consumo cíclico",6760332,4316764,2048969,3095491,91748,2294319,892979,78159,74449,626814,0.27352
"GFSA3","1610","2016","Consumo cíclico",5210089,3400200,2275550,1928325,269666,915698,676863,-501941,-1163596,-113515,0.32679
"GFSA3","1610","2017","Consumo cíclico",2878138,1732925,1213686,755557,206865,608823,554507,-971412,-849856,-209928,0.17097
"GSHP3","2100","2015","Financeiro e outros",3235583,281801,324502,780300,5154,262831,182000,-510180,-551955,226518,0.00564
"GSHP3","2100","2016","Financeiro e outros",3300170,224634,341915,973225,115983,259227,303240,215875,183379,222215,0.00134
"GSHP3","2100","2017","Financeiro e outros",3560307,1196966,253064,1224686,97773,252290,385494,173062,251461,224352,0.00088
"GEPA3","1836","2015","Utilidade pública",4182588,659620,757069,1813883,537503,1216220,3777320,255038,182647,529737,2e-05
"GEPA3","1836","2016","Utilidade pública",4388123,1015250,1333786,1771988,771282,1333311,3368110,497805,361040,712445,1e-05
"GEPA3","1836","2017","Utilidade pública",4509694,1163144,1591815,1693669,558322,1453347,3707754,318689,243881,462585,0.00047
"GGBR4","398","2015","Materiais básicos",70094709,22177498,7863031,31685801,7162318,43581241,7173878,-6094408,-4551438,4290715,138981
"GGBR4","398","2016","Materiais básicos",54635141,17796740,8621509,24028136,3516366,37651667,16798047,-2581615,-2890811,3463726,199805
"GGBR4","398","2017","Materiais básicos",50301761,17982113,7714120,23645201,2076128,36917619,20011024,-43276,-359360,3604624,165154
"GOAU4","865","2015","Materiais básicos",70218773,22294899,8320413,12030395,6781077,43581241,1458624,-6500517,-2329054,4290715,0.62376
"GOAU4","865","2016","Materiais básicos",54758969,17916040,9047092,8584763,3325678,37651667,4441036,-2852215,-1377867,3463726,126727
"GOAU4","865","2017","Materiais básicos",50351780,18028804,7727031,8486880,2050975,36917619,5419213,-109805,-203286,3604624,123571
"GOLL4","1956","2015","Bens industriais",10368397,2461566,5542008,-4546462,-599467,9778007,869646,-3447100,-4460883,1517650,0.27129
"GOLL4","1956","2016","Bens industriais",8404355,2080714,4848742,-3649998,-21067,9867335,1594351,1361422,849619,2309213,0.31847
"GOLL4","1956","2017","Bens industriais",10004748,3344998,5750045,-3480959,672753,10576022,5076696,70996,19184,2894646,0.43395
"GPIV33","8002","2015","Financeiro e outros",3049375,662310,117628,1205763,-254895,-472086,839063,-691142,-271833,-472086,0.01595
"GPIV33","8002","2016","Financeiro e outros",2986065,964179,67159,1087709,-65020,574321,759266,200769,69639,574321,0.00684
"GPIV33","8002","2017","Financeiro e outros",3161897,910050,68692,1249673,-94575,474753,633233,272427,127682,474753,0.00375
"GPCP3","1663","2015","Materiais básicos",710682,308740,406299,-22469,36380,397670,32296,-57031,-40829,68532,0.00062
"GPCP3","1663","2016","Materiais básicos",726912,326023,256234,19319,39108,437885,138304,58008,52592,92323,0.00154
"GPCP3","1663","2017","Materiais básicos",809693,185617,143687,155967,2785,483875,102349,74399,81156,74506,0.00043
"CGRA4","453","2015","Consumo cíclico",598401,308620,89333,431803,83124,387749,209362,62826,46618,195734,0.00242
"CGRA4","453","2016","Consumo cíclico",643833,350528,134086,459292,81211,390440,348690,82695,64012,206341,0.00286
"CGRA4","453","2017","Consumo cíclico",681187,374555,147529,478290,43018,428278,538667,80726,61400,224531,0.00443
"GRND3","1961","2015","Consumo cíclico",3045642,1908661,354500,2616489,442718,2202796,5063030,583079,551223,1067883,0.11859
"GRND3","1961","2016","Consumo cíclico",3253820,2492979,275383,2921998,551471,2045115,5285427,668112,634492,996527,0.10679
"GRND3","1961","2017","Consumo cíclico",3576008,2846997,322074,3217609,525726,2251972,8555256,704092,660929,1100756,0.1428
"GUAR3","466","2015","Consumo cíclico",7032835,4131787,2715554,3390108,345864,5507306,2946840,379291,350215,3326174,0.02289
"GUAR3","466","2016","Consumo cíclico",7720762,4776437,3045311,3616350,417426,5921650,3675672,275495,317551,3574225,0.01316
"GUAR3","466","2017","Consumo cíclico",7981777,5037500,2824679,4025042,451498,6444659,9011443,775776,570327,4106251,0.04288
"HBTS5","329","2015","Financeiro e outros",1235799,95277,100360,437388,11161,70566,51240,15416,6049,22314,3e-05
"HBTS5","329","2016","Financeiro e outros",1290407,64180,116342,463206,8472,53424,67315,6172,-4899,10044,1e-05
"HBTS5","329","2017","Financeiro e outros",1181873,137509,118449,350309,8963,22677,73983,-130179,-117255,-25330,2e-05
"HAGA4","1336","2015","Bens industriais",51759,40073,24283,-84843,7091,29640,22570,3667,3146,10279,0.00073
"HAGA4","1336","2016","Bens industriais",57555,46422,24887,-81572,7887,26475,35581,3721,3270,9168,6e-04
"HAGA4","1336","2017","Bens industriais",59215,48760,26143,-82978,3625,24410,37287,-953,-1406,7232,0.00122
"HBOR3","2087","2015","Consumo cíclico",5083155,3812225,1249605,1381536,-369654,1307399,404589,155380,68873,299833,0.07292
"HBOR3","2087","2016","Consumo cíclico",5359180,3914591,1710014,1395700,-224514,901954,492946,-94718,-103207,96583,0.03668
"HBOR3","2087","2017","Consumo cíclico",4968060,3654495,1008991,1365205,8119,518142,886167,-357021,-309123,-30597,0.09348
"HETA4","662","2015","Consumo cíclico",7394,1623,7663,-338325,34,1758,4182,-6738,-6738,1758,0.00019
"HETA4","662","2016","Consumo cíclico",8424,1016,6740,-335244,-19,2712,2132,3197,3045,2712,9e-05
"HETA4","662","2017","Consumo cíclico",8593,1098,32993,-387752,-1,2547,4447,-18792,-52508,2547,9e-05
"HOOT4","670","2015","Consumo cíclico",572730,66281,197620,-73566,12866,144730,64302,-25163,-23818,95586,0.00013
"HOOT4","670","2016","Consumo cíclico",576959,64763,213410,-77789,8322,143684,60811,-2208,-4223,94964,0.00013
"HOOT4","670","2017","Consumo cíclico",540448,38554,289978,-117904,9006,117447,49421,-41208,-40115,67532,0.00029
"HYPE3","2143","2015","Consumo não cíclico",15823430,9771757,3350320,8030455,323692,2956649,13725874,368002,559872,2210138,0.95702
"HYPE3","2143","2016","Consumo não cíclico",11485416,5351683,1741233,8810602,881756,3288747,16451301,876848,1174574,2441960,119907
"HYPE3","2143","2017","Consumo não cíclico",10130437,3927541,1710737,7737759,932612,3638458,22165171,1213347,964942,2711712,105097
"IDNT3","1841","2015","Tecnologia da informação",342002,142015,308987,-120082,83540,720000,212472,-227036,-209337,129803,0.00592
"IDNT3","1841","2016","Tecnologia da informação",95034,24859,1105,-10769,-177514,941,70116,140794,104935,941,0.00335
"IDNT3","1841","2017","Tecnologia da informação",55247,2860,8347,2402,-17029,486,169814,24668,18837,486,0.00526
"IGBR3","681","2015","Consumo cíclico",219172,1798,36490,-713670,-2,8563,31888,-77405,-77405,6792,0.00114
"IGBR3","681","2016","Consumo cíclico",229278,8233,43083,-811126,5804,8337,17132,-97456,-97456,6662,0.00128
"IGBR3","681","2017","Consumo cíclico",243166,1104,78364,-767123,612,4522,14381,44003,44003,3501,0.00122
"IGTA3","2049","2015","Financeiro e outros",5057018,625173,550685,2627192,325895,636254,3336459,241002,191091,425505,0.2571
"IGTA3","2049","2016","Financeiro e outros",5230634,755200,428613,2734937,358602,668147,4708873,203208,161583,460033,0.2739
"IGTA3","2049","2017","Financeiro e outros",5062802,659725,321527,2798130,341992,692156,6952945,262416,215726,480051,0.51941
"MEAL3","2357","2015","Consumo cíclico",2226023,964661,574253,1192129,41463,1615058,341631,-128616,-98901,477792,0.03451
"MEAL3","2357","2016","Consumo cíclico",1503408,348983,248593,1030654,75554,1540638,805297,-64423,-76430,472412,0.04481
"MEAL3","2357","2017","Consumo cíclico",1512424,372525,244631,996302,69758,1494511,1412834,19718,3666,465575,0.10265
"ROMI3","751","2015","Bens industriais",1219716,703173,247562,670719,159315,606632,114182,8855,6254,138027,0.00711
"ROMI3","751","2016","Bens industriais",1084120,622374,290889,599962,85180,586917,160287,-48217,-39695,116996,0.0075
"ROMI3","751","2017","Bens industriais",1075423,592193,280526,641969,123070,672873,484004,55093,37662,189637,0.01423
"INEP4","759","2015","Bens industriais",2285555,643427,1612342,-349448,207231,451017,32895,-344382,-208001,171290,0.00211
"INEP4","759","2016","Bens industriais",1949395,555752,1947230,-967463,-235685,68850,21846,-601806,-638690,20354,0.00116
"INEP4","759","2017","Bens industriais",1808994,506958,2074407,-1283850,-13065,39803,18222,-317277,-321064,8046,0.00103
"MYPK3","1193","2015","Consumo cíclico",7990379,2727855,3088750,2153447,149954,6846456,1163543,132842,49366,892028,0.17648
"MYPK3","1193","2016","Consumo cíclico",7057115,2364711,2521719,1783985,253963,6816454,1101602,134832,21531,971788,0.17714
"MYPK3","1193","2017","Consumo cíclico",7922248,3048763,3060854,2387853,303396,7487940,3211835,149348,6403,1154978,0.25911
"ITSA4","761","2015","Financeiro e outros",54830000,6114000,3183000,44846000,986000,4885000,46861260,8976000,8868000,1154000,312102
"ITSA4","761","2016","Financeiro e outros",59020000,6699000,3917000,47729000,475000,4687000,60592205,8038000,8211000,1046000,294557
"ITSA4","761","2017","Financeiro e outros",65580000,5779000,3292000,53229000,669000,4969000,80017631,8364000,8403000,1295000,235552
"JBDU4","1231","2015","Financeiro e outros",129906,35119,21589,36069,-1386,0,6314,-3414,-4221,0,0.00064
"JBDU4","1231","2016","Financeiro e outros",91206,1144,17265,-8290,7734,0,2052,-40384,-41750,0,0.00026
"JBDU4","1231","2017","Financeiro e outros",97670,1146,17572,-2133,-1782,0,4327,-1437,-1437,0,0.00165
"JBSS3","2057","2015","Consumo não cíclico",122502967,49810038,40137467,28029243,7384785,162914526,34492402,7878681,4640114,22590313,203447
"JBSS3","2057","2016","Consumo não cíclico",102815763,33919805,33348624,23771325,3667395,170380526,31026200,436380,375973,21313826,186594
"JBSS3","2057","2017","Consumo não cíclico",108695951,36105544,29179341,24287612,5203974,163169981,26581915,1151756,534202,23772232,186131
"JHSF3","2060","2015","Consumo cíclico",6565587,1881373,1671085,2645050,283149,630961,666581,246376,108379,271921,0.02368
"JHSF3","2060","2016","Consumo cíclico",4750550,1162738,609448,2205046,-353945,384563,740062,-439593,-253587,153444,0.02662
"JHSF3","2060","2017","Consumo cíclico",4466181,321996,351934,2121482,-107779,355885,919674,40352,-22653,147238,0.05707
"JOPA3","1328","2015","Consumo não cíclico",1566240,985881,634069,435251,-40087,1056831,122335,50827,24176,347509,3e-05
"JOPA3","1328","2016","Consumo não cíclico",1667337,1081325,607485,457475,14112,1172311,211640,69056,30701,390056,2e-05
"JOPA3","1328","2017","Consumo não cíclico",1712639,1133187,540677,471434,128535,1069282,264563,35353,19152,311506,3e-05
"JSLG3","2202","2015","Bens industriais",8742595,3371043,2414240,1019852,850881,5989912,1485533,67222,46763,1137358,0.01943
"JSLG3","2202","2016","Bens industriais",8868383,2716700,3194162,608989,756453,6739417,1814249,-249470,-183174,1297360,0.0174
"JSLG3","2202","2017","Bens industriais",11500924,4488461,3129688,686788,-1873071,7255804,1669203,33929,-2742,1486115,0.02249
"CTKA4","414","2015","Consumo cíclico",276824,153525,345514,-115831,39176,262713,21098,-49083,-49564,103252,0.00058
"CTKA4","414","2016","Consumo cíclico",314602,176375,472686,-209315,9757,311270,34636,-96185,-96579,111181,0.00023
"CTKA4","414","2017","Consumo cíclico",322722,183630,484540,-208188,47048,309776,17312,-52966,-525,123194,0.00349
"KEPL3","787","2015","Bens industriais",791235,363849,223274,491362,7405,705979,426254,-5471,6237,90797,0.01351
"KEPL3","787","2016","Bens industriais",763805,315828,208362,468852,53122,475298,473616,-38631,-22124,32704,0.01401
"KEPL3","787","2017","Bens industriais",716246,304324,226944,435349,-18610,578375,513873,-37200,-34257,48428,0.01114
"KLBN11","1265","2015","Materiais básicos",26268180,8675744,3162295,5352340,1739996,5687589,25968329,-1947808,-1253197,2242200,0.91356
"KLBN11","1265","2016","Materiais básicos",29313729,9960035,4143664,7100336,1202849,7090798,18867916,3214935,2481946,2396686,0.88986
"KLBN11","1265","2017","Materiais básicos",30549541,11803589,3747333,7234151,1792978,8373378,18039363,838668,532169,2735547,0.6751
"KROT3","1797","2015","Consumo cíclico",16638854,1641615,1173525,12459688,911322,5265058,15388152,1464461,1396134,3024184,271080
"KROT3","1797","2016","Consumo cíclico",17601065,2645028,1245420,13849364,1820112,5244718,21646037,1922855,1864635,3087936,212907
"KROT3","1797","2017","Consumo cíclico",18667762,3536141,1345534,15207726,1826404,5557748,30182572,1920595,1882316,3451858,199781
"LLIS3","2144","2015","Consumo cíclico",3178126,795008,720131,1742917,174847,1188743,604284,-44990,-17219,691000,0.02396
"LLIS3","2144","2016","Consumo cíclico",3179649,823879,1025396,1681063,253142,1125829,1032182,-89071,-61642,656030,0.02033
"LLIS3","2144","2017","Consumo cíclico",3690947,895908,976032,2146495,147965,1249816,1677033,-213840,420568,717946,0.00278
"LIGT3","1987","2015","Utilidade pública",14901420,3976236,4399371,3665063,979481,10647304,2018947,124230,37836,1582602,0.30871
"LIGT3","1987","2016","Utilidade pública",14330229,3612477,4871405,3353796,1142837,9645237,3540295,-282975,-312937,1603211,0.33072
"LIGT3","1987","2017","Utilidade pública",14945049,4137972,5493129,3432473,25747,11314559,3403659,298478,124221,2445340,0.39712
"LINX3","2303","2015","Tecnologia da informação",996087,373304,98866,665239,81536,449183,2074879,81366,63818,320916,0.10144
"LINX3","2303","2016","Tecnologia da informação",1483372,795619,117122,1153278,82138,495799,2873333,92899,68501,348435,0.10038
"LINX3","2303","2017","Tecnologia da informação",1564024,720084,169238,1170520,108736,571590,3515433,108761,84845,402717,0.19167
"LIXC3","477","2015","Bens industriais",287489,278855,190603,43992,-821,6005,12689,-9499,-10074,1080,8e-05
"LIXC3","477","2016","Bens industriais",296396,287962,215780,18384,2840,293,21838,-17720,-17994,-324,6e-05
"LIXC3","477","2017","Bens industriais",300118,293134,233788,1359,-2,53,29943,-21776,-22177,41,8e-05
"RENT3","1973","2015","Consumo cíclico",6123024,2005577,1356058,1941577,-3401,3928095,5133260,532844,402427,1239269,0.52395
"RENT3","1973","2016","Consumo cíclico",7417255,2242761,1841699,2196990,-226788,4439273,7121182,527628,409315,1290039,0.57806
"RENT3","1973","2017","Consumo cíclico",11186234,3430988,2234098,2600725,-2443028,6058279,14568358,654135,505676,1647424,0.84207
"LOGN3","2071","2015","Bens industriais",2329572,421274,1831607,96625,129717,1054432,103598,-343581,-375302,94575,0.02182
"LOGN3","2071","2016","Bens industriais",1857719,428667,365666,189933,184976,794031,44006,145612,94103,-4010,0.01677
"LOGN3","2071","2017","Bens industriais",1171990,339102,299534,-393274,237679,872172,77483,-652912,-606874,75022,0.01306
"LAME4","808","2015","Consumo cíclico",20528253,12281139,7618062,1742344,710027,17926155,19732679,274743,250249,5126485,0.72244
"LAME4","808","2016","Consumo cíclico",20775991,11680716,7472811,1990456,-1198963,18103512,21833658,-115472,211657,5399570,0.72157
"LAME4","808","2017","Consumo cíclico",27536385,17604748,9655087,4621684,437047,17044716,25080405,36083,237628,5440965,133606
"AMAR3","2205","2015","Consumo cíclico",2832135,1862804,830820,1118845,433513,3164906,989817,-76008,-35764,1376788,0.01933
"AMAR3","2205","2016","Consumo cíclico",2644049,1590533,725588,1011636,329534,2852785,1216353,-144915,-88006,1312240,0.01296
"AMAR3","2205","2017","Consumo cíclico",2832732,1847312,1274257,959640,-10347,2875577,1479624,-8559,-60438,1374859,0.08106
"LREN3","813","2015","Consumo cíclico",5863719,3721211,2319127,2310896,771958,6145198,10938716,828667,578838,3633846,0.91285
"LREN3","813","2016","Consumo cíclico",6475212,4085477,2917751,2636796,914208,6451578,14887907,872380,625058,3876495,121988
"LREN3","813","2017","Consumo cíclico",7547658,4907941,2941712,3223446,845590,7444305,25259475,1004137,732679,4499392,116259
"LPSB3","2037","2015","Financeiro e outros",378142,118561,65822,212995,-5853,204176,258944,-445460,-371139,148109,0.02938
"LPSB3","2037","2016","Financeiro e outros",343192,115825,50976,150732,-9444,148706,486451,-28288,-37483,115809,0.0096
"LPSB3","2037","2017","Financeiro e outros",290276,75746,51286,90040,-11398,111019,699549,-45774,-63367,79987,0.03371
"LUPA3","2006","2015","Petróleo, gás e biocombustíveis",814031,235735,211624,93313,41535,268294,19445,39873,-75137,-10235,0.00157
"LUPA3","2006","2016","Petróleo, gás e biocombustíveis",642290,162544,177222,44611,-52892,138486,37857,-55194,7370,-30558,0.01262
"LUPA3","2006","2017","Petróleo, gás e biocombustíveis",575280,224321,126620,85818,-16298,112366,27242,-38802,-5487,-5279,0.01357
"MDIA3","2033","2015","Consumo não cíclico",5099577,1907824,783702,3716945,490685,4622164,7514500,642085,603925,1655768,0.12903
"MDIA3","2033","2016","Consumo não cíclico",5681045,2351871,816941,4333606,964242,5328071,12996130,832176,784399,2085678,0.15507
"MDIA3","2033","2017","Consumo não cíclico",6089765,2551664,589212,4991911,870802,5415422,17661900,915477,844183,2249054,0.29973
"MGLU3","2247","2015","Consumo cíclico",5501981,3360515,2874782,575656,462790,8978259,386079,-147129,-65605,2578629,0.11246
"MGLU3","2247","2016","Consumo cíclico",6100606,3919843,3672426,621586,267751,9508745,2258653,77096,86565,2922615,0.10229
"MGLU3","2247","2017","Consumo cíclico",7419513,5257617,4136036,2073977,19477,11984250,15180143,476873,389022,3606011,0.65524
"MAGG3","2084","2015","Materiais básicos",6510840,2502449,1416777,1849974,443637,3380772,770998,-751387,-1061283,1039486,0.03782
"MAGG3","2084","2016","Materiais básicos",6145680,2450768,1584621,1945730,436165,3393079,1224196,378196,449502,1159917,0.02764
"MAGG3","2084","2017","Materiais básicos",6342942,2544478,1858474,1936009,456587,3680712,2522040,-153628,-182782,1219522,0.0376
"MGEL4","839","2015","Materiais básicos",397193,158124,89678,-298026,10106,427477,16482,-142361,-51344,33695,0.00093
"MGEL4","839","2016","Materiais básicos",363758,141572,62169,-293428,23331,427533,21687,4993,1644,45290,0.00055
"MGEL4","839","2017","Materiais básicos",336697,135580,55590,-317747,37402,445983,23827,-33753,-8693,57106,0.0019
"POMO4","845","2015","Bens industriais",5038863,2988919,1592174,1828085,491248,2739132,1597062,127717,86949,475967,0.32672
"POMO4","845","2016","Bens industriais",4968269,3056738,1661724,1836409,170987,2574093,2319915,370237,219388,325758,0.27793
"POMO4","845","2017","Bens industriais",4732252,2822901,1619266,1898769,294934,2875993,3409728,92973,72170,403646,0.31147
"MRFG3","2078","2015","Consumo não cíclico",20915949,9842455,5406649,643258,2100663,18891833,3306374,-1808474,-586022,2302164,0.42935
"MRFG3","2078","2016","Consumo não cíclico",20258803,9303178,7382969,906616,1675961,19333453,3445790,-1021540,-679205,2176080,0.44687
"MRFG3","2078","2017","Consumo não cíclico",21301799,9738648,6021169,2392532,-7018,18577873,4545640,-819588,-483472,2222523,0.34008
"MTIG4","860","2015","Materiais básicos",77081,27437,43998,7650,14773,116937,5375,-16068,-10236,3299,0.00033
"MTIG4","860","2016","Materiais básicos",87660,39081,56038,22843,-11012,143284,8449,-15278,-9859,11368,0.00017
"MTIG4","860","2017","Materiais básicos",84728,43347,47039,22941,-11379,130985,4996,159,98,22326,2e-05
"LEVE3","857","2015","Consumo cíclico",2477941,1026764,585414,1290298,338097,2433093,3175635,253171,201025,650674,0.07294
"LEVE3","857","2016","Consumo cíclico",2354914,1066404,488968,1230835,248746,2236007,2663684,-41346,24656,596003,0.12057
"LEVE3","857","2017","Consumo cíclico",2226144,1061254,425764,1355048,346535,2264443,3062724,279109,237305,628671,0.0828
"FRIO3","2061","2015","Bens industriais",1205377,775221,845123,-1559,91097,1017742,27610,-98685,-109792,135471,0.00061
"FRIO3","2061","2016","Bens industriais",1098571,703292,516367,83259,95205,1013663,105954,39261,14883,152276,0.00268
