"cod","id","ano","econo_bov","AtvTotal","AtvCirc","PasCirc","PatLiq","CxOper","RecLiq","VrMerc","LAIR","LucroLiquido","LucroBruto","LiqBolsa"
"BTTL3","1545","2017","Financeiro e outros",130410,33827,43134,10771,-29050,215719,56504,-23546,-1356,30078,0.00026
"BALM4","156","2015","Saúde",161822,108270,42945,86166,4694,112044,87808,21246,14111,67957,4e-05
"BALM4","156","2016","Saúde",170692,95050,42355,87628,766,113105,79576,5428,3016,70046,4e-05
"BALM4","156","2017","Saúde",180845,104603,54390,88569,5534,109753,86240,2451,675,63469,3e-05
"BMKS3","169","2015","Consumo cíclico",196964,176777,5850,175106,8111,20613,96862,16577,10698,7086,0.00012
"BMKS3","169","2016","Consumo cíclico",216515,187317,11266,185980,31969,19405,130954,23924,15883,6233,8e-05
"BMKS3","169","2017","Consumo cíclico",202655,171803,4839,182499,15266,16356,156843,12476,8029,5587,0.00012
"BIOM3","1930","2015","Saúde",229673,130406,13862,115128,-13899,0,172631,15620,8282,0,0.00064
"BIOM3","1930","2016","Saúde",237385,51491,19723,65929,-38281,0,198834,-50020,-45608,0,0.00029
"BIOM3","1930","2017","Saúde",262387,64367,43317,59301,-54405,103,335436,-41032,-38128,36,0.00071
"BSEV3","2284","2015","Consumo não cíclico",10256684,2619201,3508878,-66005,-262799,4795826,1060805,33958,-323653,1507545,5e-05
"BSEV3","2284","2016","Consumo não cíclico",9293290,3335750,4092420,-463227,-463977,5452756,1634035,-99189,-286900,744698,0.00303
"BSEV3","2284","2017","Consumo não cíclico",8635436,2949887,3935654,-1453655,624367,5147716,990524,-1024660,-823162,550455,0.00644
"BOBR4","1219","2015","Consumo não cíclico",701474,296326,522012,-246794,38451,1091476,85423,-403578,-376948,402745,0.00049
"BOBR4","1219","2016","Consumo não cíclico",711099,242388,584172,-273409,128473,1097770,109752,-24432,59068,476460,0.00221
"BOBR4","1219","2017","Consumo não cíclico",685366,321212,483248,-146628,-1785,1096718,267081,102096,126824,497874,0.01011
"BBRK3","2118","2015","Financeiro e outros",499905,107081,37050,424966,-12545,166295,242174,-80596,-91099,159976,0.0618
"BBRK3","2118","2016","Financeiro e outros",424213,69718,49626,290713,-27945,110194,292088,-124226,-134140,106861,0.01407
"BBRK3","2118","2017","Financeiro e outros",376042,86595,55251,251116,-62336,89071,245450,-104622,-106160,82913,0.0364
"BRIN3","2221","2015","Financeiro e outros",486130,90280,78124,384586,5427,190763,98228,-95911,-109537,190763,0.06088
"BRIN3","2221","2016","Financeiro e outros",386003,83948,31337,341486,230,132121,148058,-84027,-96131,132121,0.01389
"BRIN3","2221","2017","Financeiro e outros",300009,63821,20450,257929,-11670,93734,89996,-75402,-82588,93734,0.01079
"BRML3","1990","2015","Financeiro e outros",20684045,1452733,1350512,9153636,913229,1364003,5135659,442953,4842,1266030,0.90375
"BRML3","1990","2016","Financeiro e outros",19402241,977898,835029,9368889,786709,1286382,7291113,-67641,171251,1173811,116410
"BRML3","1990","2017","Financeiro e outros",18003585,2274047,830202,10157334,792153,1265240,11087168,-1224132,-796281,1141387,119080
"BPHA3","2250","2015","Saúde",2333307,817919,1703057,544362,39378,3387469,35942,-701171,-654545,918389,0.03551
"BPHA3","2250","2016","Saúde",1458384,219497,1031504,304336,25249,1502656,506603,-638752,-634341,461469,0.02689
"BPHA3","2250","2017","Saúde",144941,56273,1375821,-1317339,-330065,516786,411615,-1581172,-1621675,159151,0.01407
"BRPR3","1992","2015","Financeiro e outros",9162163,1539896,770889,4640086,344222,714880,2511080,-908183,-769638,714880,0.34155
"BRPR3","1992","2016","Financeiro e outros",9180532,1128152,636473,4729143,202871,465681,2236710,-572,28846,465681,0.12944
"BRPR3","1992","2017","Financeiro e outros",9797952,1221036,704597,5876090,245801,430449,4305709,272560,277017,430449,0.15702
"BRAP4","1872","2015","Materiais básicos",9694451,377977,34290,7917193,386756,0,1669496,-2577557,-2590301,0,0.62871
"BRAP4","1872","2016","Materiais básicos",10277017,1809333,229616,7910913,61083,0,4890977,649874,629323,0,0.58234
"BRAP4","1872","2017","Materiais básicos",11322515,1790505,2476434,8806008,-55862,0,9508074,2510624,2328375,0,0.77112
